Economy_Label,Partner_Label,Index_Value,Index_Footnote,Index_MissingValue
"Albania","Greenland",0.09,,
"Albania","Grenada",0.09,,
"Albania","Guadeloupe",0.17,,
"Albania","Guam",0.09,,
"Albania","Guatemala",0.1,,
"Albania","Guinea",0.1,,
"Albania","Guinea-Bissau",0.09,,
"Albania","Guyana",0.1,,
"Albania","Haiti",0.09,,
"Albania","Honduras",0.1,,
"Albania","Iceland",0.1,,
"Albania","India",0.19,,
"Albania","Indonesia",0.17,,
"Albania","Iran (Islamic Republic of)",0.16,,
"Albania","Iraq",0.1,,
"Albania","Ireland",0.17,,
"Albania","Israel",0.18,,
"Albania","Italy",0.26,,
"Albania","Jamaica",0.18,,
"Albania","Japan",0.11,,
"Albania","Jordan",0.17,,
"Albania","Kenya",0.17,,
"Albania","Kiribati",0.1,,
"Albania","Kuwait",0.09,,
"Albania","Latvia",0.16,,
"Albania","Lebanon",0.18,,
"Albania","Liberia",0.09,,
"Albania","Libya",0.17,,
"Albania","Lithuania",0.17,,
"Albania","Madagascar",0.1,,
"Albania","Malaysia",0.19,,
"Albania","Maldives",0.09,,
"Albania","Malta",0.18,,
"Albania","Marshall Islands",0.1,,
"Albania","Martinique",0.17,,
"Albania","Mauritania",0.09,,
"Albania","Mauritius",0.17,,
"Albania","Mayotte",0.09,,
"Albania","Mexico",0.18,,
"Albania","Micronesia (Federated States of)",0.09,,
"Albania","Montenegro",0.24,,
"Albania","Morocco",0.19,,
"Albania","Mozambique",0.17,,
"Albania","Myanmar",0.1,,
"Albania","Namibia",0.1,,
"Albania","Netherlands (Kingdom of the)",0.19,,
"Albania","Netherlands Antilles",,,"Not applicable"
"Albania","New Caledonia",0.1,,
"Albania","New Zealand",0.17,,
"Albania","Nicaragua",0.09,,
"Albania","Nigeria",0.18,,
"Albania","Niue",0.08,,
"Albania","Norfolk Island",0.07,,
"Albania","Northern Mariana Islands",0.09,,
"Albania","Norway",0.09,,
"Albania","Oman",0.18,,
"Albania","Pakistan",0.18,,
"Albania","Palau",0.08,,
"Albania","Panama",0.18,,
"Albania","Papua New Guinea",0.1,,
"Albania","Paraguay",0.08,,
"Albania","Peru",0.17,,
"Albania","Philippines",0.1,,
"Albania","Poland",0.1,,
"Albania","Portugal",0.18,,
"Albania","Puerto Rico",0.1,,
"Albania","Qatar",0.17,,
"Albania","Republic of Korea",0.19,,
"Albania","Reunion",0.17,,
"Albania","Romania",0.17,,
"Albania","Russian Federation",0.18,,
"Albania","Saint Helena",0.07,,
"Albania","Saint Kitts and Nevis",0.08,,
"Albania","Saint Lucia",0.1,,
"Albania","Saint Pierre and Miquelon",0.07,,
"Albania","Saint Vincent and the Grenadines",0.09,,
"Albania","Samoa",0.1,,
"Albania","Sao Tome and Principe",0.09,,
"Albania","Saudi Arabia",0.18,,
"Albania","Senegal",0.17,,
"Albania","Serbia and Montenegro",,,"Not applicable"
"Albania","Seychelles",0.1,,
"Albania","Sierra Leone",0.09,,
"Albania","Singapore",0.19,,
"Albania","Sint Maarten (Dutch part)",0.1,,
"Albania","Slovenia",0.17,,
"Albania","Solomon Islands",0.1,,
"Albania","Somalia",0.17,,
"Albania","South Africa",0.18,,
"Albania","Spain",0.19,,
"Albania","Sri Lanka",0.18,,
"Albania","Sudan",0.16,,
"Albania","Sudan (...2011)",,,"Not applicable"
"Albania","Suriname",0.1,,
"Albania","Sweden",0.17,,
"Albania","Syrian Arab Republic",0.17,,
"Albania","Thailand",0.17,,
"Albania","Timor-Leste",0.08,,
"Albania","Togo",0.18,,
"Albania","Tonga",0.1,,
"Albania","Trinidad and Tobago",0.1,,
"Albania","Tunisia",0.16,,
"Albania","Turkiye",0.25,,
"Albania","Turks and Caicos Islands",0.07,,
"Albania","Tuvalu",0.01,,
"Albania","Ukraine",0.16,,
"Albania","United Arab Emirates",0.19,,
"Albania","United Kingdom",0.19,,
"Albania","United Republic of Tanzania",0.17,,
"Albania","United States",0.19,,
"Albania","United States Virgin Islands",0.09,,
"Albania","Uruguay",0.17,,
"Albania","Vanuatu",0.1,,
"Albania","Venezuela (Bolivarian Rep. of)",0.1,,
"Albania","Viet Nam",0.18,,
"Albania","Wallis and Futuna Islands",0.01,,
"Albania","Yemen",0.09,,
"Algeria","Albania",0.17,,
"Algeria","Algeria",,,"Not applicable"
"Algeria","American Samoa",0.12,,
"Algeria","Angola",0.21,,
"Algeria","Antigua and Barbuda",0.11,,
"Algeria","Argentina",0.21,,
"Algeria","Aruba",0.1,,
"Algeria","Australia",0.22,,
"Algeria","Bahamas",0.21,,
"Algeria","Bahrain",0.12,,
"Algeria","Bangladesh",0.13,,
"Algeria","Barbados",0.12,,
"Algeria","Belgium",0.32,,
"Algeria","Belize",0.18,,
"Algeria","Benin",0.21,,
"Algeria","Bermuda",0.08,,
"Algeria","Bonaire, Sint Eustatius and Saba",0.08,,
"Algeria","Brazil",0.22,,
"Algeria","British Virgin Islands",0.09,,
"Algeria","Brunei Darussalam",0.11,,
"Algeria","Bulgaria",0.27,,
"Algeria","Cabo Verde",0.17,,
"Algeria","Cambodia",0.12,,
"Algeria","Cameroon",0.2,,
"Algeria","Canada",0.23,,
"Algeria","Cayman Islands",0.08,,
"Algeria","Chile",0.21,,
"Algeria","China",0.25,,
"Algeria","China, Hong Kong SAR",0.23,,
"Algeria","China, Taiwan Province of",0.23,,
"Algeria","Christmas Island",0.08,,
"Algeria","Colombia",0.24,,
"Algeria","Comoros",0.1,,
"Algeria","Congo",0.21,,
"Algeria","Cook Islands",0.09,,
"Algeria","Costa Rica",0.22,,
"Algeria","Cote d'Ivoire",0.22,,
"Algeria","Croatia",0.19,,
"Algeria","Cuba",0.18,,
"Algeria","Curacao",0.11,,
"Algeria","Cyprus",0.22,,
"Algeria","Dem. Rep. of the Congo",0.17,,
"Algeria","Denmark",0.2,,
"Algeria","Djibouti",0.21,,
"Algeria","Dominica",0.11,,
"Algeria","Dominican Republic",0.23,,
"Algeria","Ecuador",0.22,,
"Algeria","Egypt",0.3,,
"Algeria","El Salvador",0.12,,
"Algeria","Equatorial Guinea",0.2,,
"Algeria","Eritrea",0.09,,
"Algeria","Estonia",0.19,,
"Algeria","Faroe Islands",0.11,,
"Algeria","Fiji",0.13,,
"Algeria","Finland",0.2,,
"Algeria","France",0.32,,
"Algeria","French Guiana",0.18,,
"Algeria","French Polynesia",0.2,,
"Algeria","Gabon",0.2,,
"Algeria","Gambia",0.17,,
"Algeria","Georgia",0.26,,
"Algeria","Germany",0.24,,
"Algeria","Ghana",0.23,,
"Algeria","Gibraltar",0.16,,
"Algeria","Greece",0.3,,
"Algeria","Greenland",0.1,,
"Algeria","Grenada",0.11,,
"Algeria","Guadeloupe",0.2,,
"Algeria","Guam",0.11,,
"Algeria","Guatemala",0.13,,
"Algeria","Guinea",0.2,,
"Algeria","Guinea-Bissau",0.17,,
"Algeria","Guyana",0.19,,
"Algeria","Haiti",0.12,,
"Algeria","Honduras",0.13,,
"Algeria","Iceland",0.11,,
"Algeria","India",0.24,,
"Algeria","Indonesia",0.21,,
"Algeria","Iran (Islamic Republic of)",0.2,,
"Algeria","Iraq",0.13,,
"Algeria","Ireland",0.21,,
"Algeria","Israel",0.22,,
"Algeria","Italy",0.32,,
"Algeria","Jamaica",0.23,,
"Algeria","Japan",0.22,,
"Algeria","Jordan",0.22,,
"Algeria","Kenya",0.21,,
"Algeria","Kiribati",0.11,,
"Algeria","Kuwait",0.12,,
"Algeria","Latvia",0.2,,
"Algeria","Lebanon",0.23,,
"Algeria","Liberia",0.18,,
"Algeria","Libya",0.28,,
"Algeria","Lithuania",0.2,,
"Algeria","Madagascar",0.12,,
"Algeria","Malaysia",0.24,,
"Algeria","Maldives",0.11,,
"Algeria","Malta",0.3,,
"Algeria","Marshall Islands",0.11,,
"Algeria","Martinique",0.2,,
"Algeria","Mauritania",0.25,,
"Algeria","Mauritius",0.2,,
"Algeria","Mayotte",0.11,,
"Algeria","Mexico",0.23,,
"Algeria","Micronesia (Federated States of)",0.1,,
"Algeria","Montenegro",0.19,,
"Algeria","Morocco",0.32,,
"Algeria","Mozambique",0.21,,
"Algeria","Myanmar",0.12,,
"Algeria","Namibia",0.21,,
"Algeria","Netherlands (Kingdom of the)",0.25,,
"Algeria","Netherlands Antilles",,,"Not applicable"
"Algeria","New Caledonia",0.2,,
"Algeria","New Zealand",0.22,,
"Algeria","Nicaragua",0.12,,
"Algeria","Nigeria",0.22,,
"Algeria","Niue",0.08,,
"Algeria","Norfolk Island",0.07,,
"Algeria","Northern Mariana Islands",0.1,,
"Algeria","Norway",0.19,,
"Algeria","Oman",0.22,,
"Algeria","Pakistan",0.23,,
"Algeria","Palau",0.09,,
"Algeria","Panama",0.24,,
"Algeria","Papua New Guinea",0.13,,
"Algeria","Paraguay",0.08,,
"Algeria","Peru",0.22,,
"Algeria","Philippines",0.13,,
"Algeria","Poland",0.21,,
"Algeria","Portugal",0.3,,
"Algeria","Puerto Rico",0.19,,
"Algeria","Qatar",0.21,,
"Algeria","Republic of Korea",0.25,,
"Algeria","Reunion",0.2,,
"Algeria","Romania",0.22,,
"Algeria","Russian Federation",0.22,,
"Algeria","Saint Helena",0.08,,
"Algeria","Saint Kitts and Nevis",0.09,,
"Algeria","Saint Lucia",0.11,,
"Algeria","Saint Pierre and Miquelon",0.07,,
"Algeria","Saint Vincent and the Grenadines",0.11,,
"Algeria","Samoa",0.12,,
"Algeria","Sao Tome and Principe",0.17,,
"Algeria","Saudi Arabia",0.24,,
"Algeria","Senegal",0.22,,
"Algeria","Serbia and Montenegro",,,"Not applicable"
"Algeria","Seychelles",0.11,,
"Algeria","Sierra Leone",0.18,,
"Algeria","Singapore",0.25,,
"Algeria","Sint Maarten (Dutch part)",0.19,,
"Algeria","Slovenia",0.21,,
"Algeria","Solomon Islands",0.12,,
"Algeria","Somalia",0.19,,
"Algeria","South Africa",0.23,,
"Algeria","Spain",0.33,,
"Algeria","Sri Lanka",0.23,,
"Algeria","Sudan",0.18,,
"Algeria","Sudan (...2011)",,,"Not applicable"
"Algeria","Suriname",0.2,,
"Algeria","Sweden",0.21,,
"Algeria","Syrian Arab Republic",0.21,,
"Algeria","Thailand",0.22,,
"Algeria","Timor-Leste",0.09,,
"Algeria","Togo",0.22,,
"Algeria","Tonga",0.12,,
"Algeria","Trinidad and Tobago",0.21,,
"Algeria","Tunisia",0.25,,
"Algeria","Turkiye",0.31,,
"Algeria","Turks and Caicos Islands",0.08,,
"Algeria","Tuvalu",0.01,,
"Algeria","Ukraine",0.18,,
"Algeria","United Arab Emirates",0.24,,
"Algeria","United Kingdom",0.25,,
"Algeria","United Republic of Tanzania",0.21,,
"Algeria","United States",0.25,,
"Algeria","United States Virgin Islands",0.1,,
"Algeria","Uruguay",0.21,,
"Algeria","Vanuatu",0.12,,
"Algeria","Venezuela (Bolivarian Rep. of)",0.2,,
"Algeria","Viet Nam",0.23,,
"Algeria","Wallis and Futuna Islands",0.08,,
"Algeria","Yemen",0.12,,
"American Samoa","Albania",0.1,,
"American Samoa","Algeria",0.12,,
"American Samoa","American Samoa",,,"Not applicable"
"American Samoa","Angola",0.2,,
"American Samoa","Antigua and Barbuda",0.18,,
"American Samoa","Argentina",0.2,,
"American Samoa","Aruba",0.17,,
"American Samoa","Australia",0.22,,
"American Samoa","Bahamas",0.2,,
"American Samoa","Bahrain",0.11,,
"American Samoa","Bangladesh",0.19,,
"American Samoa","Barbados",0.19,,
"American Samoa","Belgium",0.23,,
"American Samoa","Belize",0.17,,
"American Samoa","Benin",0.2,,
"American Samoa","Bermuda",0.15,,
"American Samoa","Bonaire, Sint Eustatius and Saba",0.08,,
"American Samoa","Brazil",0.21,,
"American Samoa","British Virgin Islands",0.16,,
"American Samoa","Brunei Darussalam",0.18,,
"American Samoa","Bulgaria",0.11,,
"American Samoa","Cabo Verde",0.09,,
"American Samoa","Cambodia",0.19,,
"American Samoa","Cameroon",0.2,,
"American Samoa","Canada",0.22,,
"American Samoa","Cayman Islands",0.15,,
"American Samoa","Chile",0.2,,
"American Samoa","China",0.32,,
"American Samoa","China, Hong Kong SAR",0.23,,
"American Samoa","China, Taiwan Province of",0.3,,
"American Samoa","Christmas Island",0.08,,
"American Samoa","Colombia",0.22,,
"American Samoa","Comoros",0.1,,
"American Samoa","Congo",0.2,,
"American Samoa","Cook Islands",0.23,,
"American Samoa","Costa Rica",0.2,,
"American Samoa","Cote d'Ivoire",0.2,,
"American Samoa","Croatia",0.19,,
"American Samoa","Cuba",0.18,,
"American Samoa","Curacao",0.18,,
"American Samoa","Cyprus",0.12,,
"American Samoa","Dem. Rep. of the Congo",0.1,,
"American Samoa","Denmark",0.2,,
"American Samoa","Djibouti",0.19,,
"American Samoa","Dominica",0.18,,
"American Samoa","Dominican Republic",0.21,,
"American Samoa","Ecuador",0.21,,
"American Samoa","Egypt",0.22,,
"American Samoa","El Salvador",0.11,,
"American Samoa","Equatorial Guinea",0.19,,
"American Samoa","Eritrea",0.09,,
"American Samoa","Estonia",0.11,,
"American Samoa","Faroe Islands",0.11,,
"American Samoa","Fiji",0.29,,
"American Samoa","Finland",0.12,,
"American Samoa","France",0.24,,
"American Samoa","French Guiana",0.11,,
"American Samoa","French Polynesia",0.27,,
"American Samoa","Gabon",0.19,,
"American Samoa","Gambia",0.1,,
"American Samoa","Georgia",0.11,,
"American Samoa","Germany",0.23,,
"American Samoa","Ghana",0.21,,
"American Samoa","Gibraltar",0.09,,
"American Samoa","Greece",0.21,,
"American Samoa","Greenland",0.1,,
"American Samoa","Grenada",0.18,,
"American Samoa","Guadeloupe",0.12,,
"American Samoa","Guam",0.19,,
"American Samoa","Guatemala",0.2,,
"American Samoa","Guinea",0.12,,
"American Samoa","Guinea-Bissau",0.1,,
"American Samoa","Guyana",0.19,,
"American Samoa","Haiti",0.18,,
"American Samoa","Honduras",0.19,,
"American Samoa","Iceland",0.18,,
"American Samoa","India",0.22,,
"American Samoa","Indonesia",0.2,,
"American Samoa","Iran (Islamic Republic of)",0.18,,
"American Samoa","Iraq",0.2,,
"American Samoa","Ireland",0.19,,
"American Samoa","Israel",0.2,,
"American Samoa","Italy",0.23,,
"American Samoa","Jamaica",0.22,,
"American Samoa","Japan",0.3,,
"American Samoa","Jordan",0.19,,
"American Samoa","Kenya",0.19,,
"American Samoa","Kiribati",0.26,,
"American Samoa","Kuwait",0.18,,
"American Samoa","Latvia",0.12,,
"American Samoa","Lebanon",0.2,,
"American Samoa","Liberia",0.11,,
"American Samoa","Libya",0.12,,
"American Samoa","Lithuania",0.19,,
"American Samoa","Madagascar",0.11,,
"American Samoa","Malaysia",0.23,,
"American Samoa","Maldives",0.1,,
"American Samoa","Malta",0.21,,
"American Samoa","Marshall Islands",0.27,,
"American Samoa","Martinique",0.12,,
"American Samoa","Mauritania",0.11,,
"American Samoa","Mauritius",0.19,,
"American Samoa","Mayotte",0.1,,
"American Samoa","Mexico",0.22,,
"American Samoa","Micronesia (Federated States of)",0.18,,
"American Samoa","Montenegro",0.11,,
"American Samoa","Morocco",0.23,,
"American Samoa","Mozambique",0.2,,
"American Samoa","Myanmar",0.19,,
"American Samoa","Namibia",0.2,,
"American Samoa","Netherlands (Kingdom of the)",0.24,,
"American Samoa","Netherlands Antilles",,,"Not applicable"
"American Samoa","New Caledonia",0.29,,
"American Samoa","New Zealand",0.29,,
"American Samoa","Nicaragua",0.18,,
"American Samoa","Nigeria",0.2,,
"American Samoa","Niue",0.16,,
"American Samoa","Norfolk Island",0.14,,
"American Samoa","Northern Mariana Islands",0.18,,
"American Samoa","Norway",0.11,,
"American Samoa","Oman",0.21,,
"American Samoa","Pakistan",0.21,,
"American Samoa","Palau",0.15,,
"American Samoa","Panama",0.23,,
"American Samoa","Papua New Guinea",0.21,,
"American Samoa","Paraguay",0.08,,
"American Samoa","Peru",0.21,,
"American Samoa","Philippines",0.2,,
"American Samoa","Poland",0.2,,
"American Samoa","Portugal",0.21,,
"American Samoa","Puerto Rico",0.19,,
"American Samoa","Qatar",0.19,,
"American Samoa","Republic of Korea",0.31,,
"American Samoa","Reunion",0.12,,
"American Samoa","Romania",0.12,,
"American Samoa","Russian Federation",0.2,,
"American Samoa","Saint Helena",0.08,,
"American Samoa","Saint Kitts and Nevis",0.16,,
"American Samoa","Saint Lucia",0.18,,
"American Samoa","Saint Pierre and Miquelon",0.07,,
"American Samoa","Saint Vincent and the Grenadines",0.18,,
"American Samoa","Samoa",0.29,,
"American Samoa","Sao Tome and Principe",0.1,,
"American Samoa","Saudi Arabia",0.22,,
"American Samoa","Senegal",0.2,,
"American Samoa","Serbia and Montenegro",,,"Not applicable"
"American Samoa","Seychelles",0.11,,
"American Samoa","Sierra Leone",0.11,,
"American Samoa","Singapore",0.24,,
"American Samoa","Sint Maarten (Dutch part)",0.19,,
"American Samoa","Slovenia",0.19,,
"American Samoa","Solomon Islands",0.28,,
"American Samoa","Somalia",0.19,,
"American Samoa","South Africa",0.21,,
"American Samoa","Spain",0.23,,
"American Samoa","Sri Lanka",0.22,,
"American Samoa","Sudan",0.11,,
"American Samoa","Sudan (...2011)",,,"Not applicable"
"American Samoa","Suriname",0.19,,
"American Samoa","Sweden",0.2,,
"American Samoa","Syrian Arab Republic",0.12,,
"American Samoa","Thailand",0.21,,
"American Samoa","Timor-Leste",0.09,,
"American Samoa","Togo",0.21,,
"American Samoa","Tonga",0.28,,
"American Samoa","Trinidad and Tobago",0.2,,
"American Samoa","Tunisia",0.1,,
"American Samoa","Turkiye",0.22,,
"American Samoa","Turks and Caicos Islands",0.15,,
"American Samoa","Tuvalu",0.15,,
"American Samoa","Ukraine",0.1,,
"American Samoa","United Arab Emirates",0.22,,
"American Samoa","United Kingdom",0.24,,
"American Samoa","United Republic of Tanzania",0.19,,
"American Samoa","United States",0.31,,
"American Samoa","United States Virgin Islands",0.17,,
"American Samoa","Uruguay",0.2,,
"American Samoa","Vanuatu",0.28,,
"American Samoa","Venezuela (Bolivarian Rep. of)",0.19,,
"American Samoa","Viet Nam",0.22,,
"American Samoa","Wallis and Futuna Islands",0.15,,
"American Samoa","Yemen",0.11,,
"Angola","Albania",0.1,,
"Angola","Algeria",0.21,,
"Angola","American Samoa",0.2,,
"Angola","Angola",,,"Not applicable"
"Angola","Antigua and Barbuda",0.19,,
"Angola","Argentina",0.29,,
"Angola","Aruba",0.18,,
"Angola","Australia",0.3,,
"Angola","Bahamas",0.29,,
"Angola","Bahrain",0.12,,
"Angola","Bangladesh",0.21,,
"Angola","Barbados",0.2,,
"Angola","Belgium",0.42,,
"Angola","Belize",0.19,,
"Angola","Benin",0.35,,
"Angola","Bermuda",0.15,,
"Angola","Bonaire, Sint Eustatius and Saba",0.15,,
"Angola","Brazil",0.38,,
"Angola","British Virgin Islands",0.16,,
"Angola","Brunei Darussalam",0.18,,
"Angola","Bulgaria",0.2,,
"Angola","Cabo Verde",0.17,,
"Angola","Cambodia",0.2,,
"Angola","Cameroon",0.38,,
"Angola","Canada",0.31,,
"Angola","Cayman Islands",0.15,,
"Angola","Chile",0.28,,
"Angola","China",0.42,,
"Angola","China, Hong Kong SAR",0.31,,
"Angola","China, Taiwan Province of",0.31,,
"Angola","Christmas Island",0.15,,
"Angola","Colombia",0.31,,
"Angola","Comoros",0.11,,
"Angola","Congo",0.39,,
"Angola","Cook Islands",0.09,,
"Angola","Costa Rica",0.27,,
"Angola","Cote d'Ivoire",0.38,,
"Angola","Croatia",0.26,,
"Angola","Cuba",0.19,,
"Angola","Curacao",0.19,,
"Angola","Cyprus",0.21,,
"Angola","Dem. Rep. of the Congo",0.26,,
"Angola","Denmark",0.28,,
"Angola","Djibouti",0.28,,
"Angola","Dominica",0.19,,
"Angola","Dominican Republic",0.31,,
"Angola","Ecuador",0.29,,
"Angola","Egypt",0.32,,
"Angola","El Salvador",0.19,,
"Angola","Equatorial Guinea",0.3,,
"Angola","Eritrea",0.09,,
"Angola","Estonia",0.19,,
"Angola","Faroe Islands",0.19,,
"Angola","Fiji",0.21,,
"Angola","Finland",0.22,,
"Angola","France",0.42,,
"Angola","French Guiana",0.2,,
"Angola","French Polynesia",0.23,,
"Angola","Gabon",0.3,,
"Angola","Gambia",0.17,,
"Angola","Georgia",0.19,,
"Angola","Germany",0.34,,
"Angola","Ghana",0.39,,
"Angola","Gibraltar",0.17,,
"Angola","Greece",0.3,,
"Angola","Greenland",0.1,,
"Angola","Grenada",0.19,,
"Angola","Guadeloupe",0.25,,
"Angola","Guam",0.2,,
"Angola","Guatemala",0.27,,
"Angola","Guinea",0.29,,
"Angola","Guinea-Bissau",0.18,,
"Angola","Guyana",0.21,,
"Angola","Haiti",0.2,,
"Angola","Honduras",0.21,,
"Angola","Iceland",0.19,,
"Angola","India",0.34,,
"Angola","Indonesia",0.26,,
"Angola","Iran (Islamic Republic of)",0.26,,
"Angola","Iraq",0.27,,
"Angola","Ireland",0.22,,
"Angola","Israel",0.28,,
"Angola","Italy",0.34,,
"Angola","Jamaica",0.31,,
"Angola","Japan",0.31,,
"Angola","Jordan",0.28,,
"Angola","Kenya",0.24,,
"Angola","Kiribati",0.18,,
"Angola","Kuwait",0.2,,
"Angola","Latvia",0.22,,
"Angola","Lebanon",0.29,,
"Angola","Liberia",0.2,,
"Angola","Libya",0.24,,
"Angola","Lithuania",0.27,,
"Angola","Madagascar",0.2,,
"Angola","Malaysia",0.4,,
"Angola","Maldives",0.19,,
"Angola","Malta",0.31,,
"Angola","Marshall Islands",0.19,,
"Angola","Martinique",0.25,,
"Angola","Mauritania",0.2,,
"Angola","Mauritius",0.29,,
"Angola","Mayotte",0.11,,
"Angola","Mexico",0.39,,
"Angola","Micronesia (Federated States of)",0.18,,
"Angola","Montenegro",0.12,,
"Angola","Morocco",0.42,,
"Angola","Mozambique",0.24,,
"Angola","Myanmar",0.2,,
"Angola","Namibia",0.38,,
"Angola","Netherlands (Kingdom of the)",0.42,,
"Angola","Netherlands Antilles",,,"Not applicable"
"Angola","New Caledonia",0.23,,
"Angola","New Zealand",0.27,,
"Angola","Nicaragua",0.2,,
"Angola","Nigeria",0.39,,
"Angola","Niue",0.09,,
"Angola","Norfolk Island",0.07,,
"Angola","Northern Mariana Islands",0.11,,
"Angola","Norway",0.19,,
"Angola","Oman",0.31,,
"Angola","Pakistan",0.3,,
"Angola","Palau",0.09,,
"Angola","Panama",0.31,,
"Angola","Papua New Guinea",0.21,,
"Angola","Paraguay",0.09,,
"Angola","Peru",0.3,,
"Angola","Philippines",0.25,,
"Angola","Poland",0.3,,
"Angola","Portugal",0.39,,
"Angola","Puerto Rico",0.21,,
"Angola","Qatar",0.27,,
"Angola","Republic of Korea",0.34,,
"Angola","Reunion",0.27,,
"Angola","Romania",0.22,,
"Angola","Russian Federation",0.24,,
"Angola","Saint Helena",0.15,,
"Angola","Saint Kitts and Nevis",0.16,,
"Angola","Saint Lucia",0.2,,
"Angola","Saint Pierre and Miquelon",0.08,,
"Angola","Saint Vincent and the Grenadines",0.19,,
"Angola","Samoa",0.2,,
"Angola","Sao Tome and Principe",0.25,,
"Angola","Saudi Arabia",0.31,,
"Angola","Senegal",0.34,,
"Angola","Serbia and Montenegro",,,"Not applicable"
"Angola","Seychelles",0.2,,
"Angola","Sierra Leone",0.2,,
"Angola","Singapore",0.41,,
"Angola","Sint Maarten (Dutch part)",0.21,,
"Angola","Slovenia",0.27,,
"Angola","Solomon Islands",0.21,,
"Angola","Somalia",0.23,,
"Angola","South Africa",0.39,,
"Angola","Spain",0.43,,
"Angola","Sri Lanka",0.33,,
"Angola","Sudan",0.11,,
"Angola","Sudan (...2011)",,,"Not applicable"
"Angola","Suriname",0.22,,
"Angola","Sweden",0.29,,
"Angola","Syrian Arab Republic",0.21,,
"Angola","Thailand",0.3,,
"Angola","Timor-Leste",0.17,,
"Angola","Togo",0.39,,
"Angola","Tonga",0.2,,
"Angola","Trinidad and Tobago",0.23,,
"Angola","Tunisia",0.18,,
"Angola","Turkiye",0.33,,
"Angola","Turks and Caicos Islands",0.15,,
"Angola","Tuvalu",0.08,,
"Angola","Ukraine",0.11,,
"Angola","United Arab Emirates",0.33,,
"Angola","United Kingdom",0.43,,
"Angola","United Republic of Tanzania",0.23,,
"Angola","United States",0.42,,
"Angola","United States Virgin Islands",0.18,,
"Angola","Uruguay",0.29,,
"Angola","Vanuatu",0.2,,
"Angola","Venezuela (Bolivarian Rep. of)",0.21,,
"Angola","Viet Nam",0.32,,
"Angola","Wallis and Futuna Islands",0.09,,
"Angola","Yemen",0.13,,
"Anguilla","Anguilla",,,"Not applicable"
"Anguilla","Netherlands Antilles",,,"Not applicable"
"Anguilla","Serbia and Montenegro",,,"Not applicable"
"Anguilla","Sudan (...2011)",,,"Not applicable"
"Antigua and Barbuda","Albania",0.09,,
"Antigua and Barbuda","Algeria",0.11,,
"Antigua and Barbuda","American Samoa",0.18,,
"Antigua and Barbuda","Angola",0.19,,
"Antigua and Barbuda","Antigua and Barbuda",,,"Not applicable"
"Antigua and Barbuda","Argentina",0.2,,
"Antigua and Barbuda","Aruba",0.18,,
"Antigua and Barbuda","Australia",0.2,,
"Antigua and Barbuda","Bahamas",0.2,,
"Antigua and Barbuda","Bahrain",0.1,,
"Antigua and Barbuda","Bangladesh",0.11,,
"Antigua and Barbuda","Barbados",0.28,,
"Antigua and Barbuda","Belgium",0.24,,
"Antigua and Barbuda","Belize",0.17,,
"Antigua and Barbuda","Benin",0.19,,
"Antigua and Barbuda","Bermuda",0.15,,
