Economy_Label,2016_Percentage_of_total_world_Value,2017_Percentage_of_total_world_Value,2018_Percentage_of_total_world_Value,2019_Percentage_of_total_world_Value,2020_Percentage_of_total_world_Value,2021_Percentage_of_total_world_Value
"Namibia",0,0,0,0,0,0
"Nauru",,,,0,0,0
"Netherlands (Kingdom of the)",0.379,0.312,0.293,0.282,0.269,0.141
"Netherlands Antilles",,,,,,
"New Caledonia",0,0,0,0,0,0
"New Zealand",0.003,0,0,0,0.008,0.008
"Nicaragua",0,0,0,0,0,0
"Niger",0,0,0,0,0,0
"Nigeria",0,0,0,0,0,0
"Niue",,0,0.001,0.001,0.001,0.002
"Norway",0,0,0,0,0,0.001
"Oman",0,0,0,0,0,0
"Pakistan",0,0,0,0,0,0
"Palau",0.044,0.074,0.078,0.087,0.027,0.026
"Panama",15.648,15.106,14.16,14.118,14.351,15.064
"Panama, excluding Canal Zone",,,,,,
"Papua New Guinea",0.018,0.017,0.016,0.016,0.013,0.013
"Paraguay",0.005,0.005,0.005,0.004,0.004,0.004
"Peru",0.015,0.015,0.015,0.009,0,0
"Philippines",0.109,0.125,0.142,0.117,0.112,0.107
"Poland",0.003,0.003,0.003,0,0,0
"Portugal",2.111,3.748,4.656,4.096,3.886,3.964
"Puerto Rico",,,,,,0
"Qatar",0.066,0.028,0.042,0.04,0.038,0.03
"Republic of Korea",0.541,0.53,0.551,0.523,0.655,0.98
"Republic of Moldova",0.006,0.007,0.011,0.013,0.015,0.014
"Reunion",0,0,0,0,0,0
"Romania",0,0,0,0,0,0
"Russian Federation",0.032,0.036,0.036,0.035,0.041,0.043
"Saint Kitts and Nevis",0.037,0.025,0.033,0.027,0.026,0.053
"Saint Vincent and the Grenadines",0.086,0.084,0.118,0.081,0.117,0.132
"Samoa",0,0,0,0,0,0
"Sao Tome and Principe",0,0,0,0,0,0
"Saudi Arabia",0.2,0.002,0.002,0.002,0.002,0.002
"Senegal",0,0,0,0,0,0
"Serbia and Montenegro",,,,,,
"Seychelles",0,0,0,0,0,0
"Sierra Leone",0.032,0.018,0.018,0.016,0.02,0.013
"Singapore",10.165,10.402,10.356,10.382,10.34,10.298
"Slovakia",,0,,,,
"Slovenia",0,0,0,0,0,0
"Solomon Islands",0,0,0,0,0,0
"Somalia",0,0,0,0,0,0
"South Africa",0,0,0,0,0,0
"South Sudan",0,,,,,
"Spain",0,0,0.014,0.014,0,0
"Sri Lanka",0.007,0.007,0.007,0.006,0.006,0
"Sudan",0,0,0,0,0,0
"Sudan (...2011)",,,,,,
"Suriname",0,0,0,0,0,0
"Sweden",0,0,0,0,0,0
"Switzerland",0,0,0,0,0,0
"Syrian Arab Republic",0,0,0,0,0,0
"Thailand",0.111,0.113,0.109,0.118,0.124,0.119
"Timor-Leste",,,,0,0,0
"Togo",0.006,0.006,0.007,0.009,0.013,0.021
"Tonga",0.002,0,0.001,0.006,0.004,0.001
"Trinidad and Tobago",0,0,0,0,0,0
"Tunisia",0,0,0,0,0,0.003
"Turkiye",0.402,0.416,0.482,0.454,0.338,0.317
"Turkmenistan",0,0,0,0,0,0
"Turks and Caicos Islands",0,0,0,0,0,0
"Tuvalu",0.004,0.004,0.002,0.019,0.018,0.018
"Uganda",0,0,,,,
"Ukraine",0,0,0.001,0.001,0.001,0.001
"Union of Soviet Socialist Republics",,,,,,
"United Arab Emirates",0.09,0.011,0.011,0.01,0.024,0.024
"United Kingdom",3.327,3.152,3.305,3.257,1.324,1.359
"United Republic of Tanzania",0.006,0.011,0.013,0.011,0.008,0.009
"United States",1.206,1.183,1.147,1.139,1.141,1.077
"United States Virgin Islands",,0,0,0,0,0
"Uruguay",0.001,0.001,0.001,0.001,0.001,0.001
"Vanuatu",0.013,0.002,0,0,0.002,0.005
"Venezuela (Bolivarian Rep. of)",0.001,0.001,0.001,0.001,0.001,0.001
"Viet Nam",0.14,0.146,0.163,0.156,0.154,0.162
"Wallis and Futuna Islands",,,,,,0
"Yemen",0,0,0,0,0,0
"Yemen, Arab Republic",,,,,,
"Yemen, Democratic",,,,,,
"Yugoslavia, Soc. Fed. Rep. of",,,,,,
"Zambia",0,,,,,0
